buy date,sell date,day count,buy price,sell price,profit/loss %,buy indicator,buy criteria,sell indicator,sell criteria
2010-08-18,2010-11-06,80,0.07,0.40,489.7,bitcoinInvestor,enteringOversold,goldenRatio,enteringOverbought
2011-08-06,2012-08-15,375,6.96,13.17,89.1,mvrvZScore,enteringOversold,relativeUnrealized,enteringGreed
2011-09-06,2012-08-15,344,6.85,13.17,92.4,mvrvZScore,enteringOversold,relativeUnrealized,enteringGreed
2011-09-08,2012-08-15,342,6.68,13.17,97.2,mvrvZScore,enteringOversold,relativeUnrealized,enteringGreed
2011-09-09,2012-08-15,341,4.99,13.17,164.1,relativeUnrealized,enteringCapitulation,relativeUnrealized,enteringGreed
2011-09-21,2012-08-15,329,5.60,13.17,135.3,relativeUnrealized,enteringCapitulation,relativeUnrealized,enteringGreed
2011-10-07,2012-08-15,313,4.28,13.17,208,bitcoinInvestor,enteringOversold,relativeUnrealized,enteringGreed
2011-10-11,2012-08-15,309,4.01,13.17,228.5,puellMultiple,enteringOversold,relativeUnrealized,enteringGreed
2011-10-13,2012-08-15,307,4.04,13.17,226.2,puellMultiple,enteringOversold,relativeUnrealized,enteringGreed
2011-10-16,2012-08-15,304,3.61,13.17,264.8,mvrvZScore,enteringExtremeOversold,relativeUnrealized,enteringGreed
2011-11-03,2012-08-15,286,3.17,13.17,315.7,puellMultiple,enteringOversold,relativeUnrealized,enteringGreed
2011-11-05,2012-08-15,284,2.98,13.17,342.3,puellMultiple,enteringOversold,relativeUnrealized,enteringGreed
2011-11-10,2012-08-15,279,2.86,13.17,361,puellMultiple,enteringOversold,relativeUnrealized,enteringGreed
2011-12-02,2012-08-15,257,3.10,13.17,324.8,puellMultiple,enteringOversold,relativeUnrealized,enteringGreed
2011-12-03,2012-08-15,256,2.80,13.17,369.7,mvrvZScore,enteringExtremeOversold,relativeUnrealized,enteringGreed
2011-12-07,2012-08-15,252,2.99,13.17,341.1,puellMultiple,enteringOversold,relativeUnrealized,enteringGreed
